userId,productId,rating,comment
636203,135552451,5,"Cuốn sách bìa được in đẹp, nội dung tóm lược nhưng khá đầy đủ, dễ nắm bắt các mốc lịch sử, cảm ơn tiki, sách mua về còn nguyên Seal, được đóng gói trong hộp thương hiệu riêng của tiki, rất ok"
14953043,135552451,5,"Sách khá hay, tập hợp tổng quát các vị vua của từng triều đại"
13924271,135552451,5,Sách nguyên seal. Chỉnh chu
24321797,135552451,5,"sách còn nguyên seal, nội dung hay, giao nhanh 🫶🏻"
7089766,135552451,5,"Giao hàng nhanh, tiki đóng gói cẩn thận."
14455788,135552451,5,
30059362,135552451,5,
7222868,135552451,5,
20461023,135552451,5,
5904836,135552451,5,
30105704,135552451,5,
30246240,135552451,4,
8181429,135552451,5,
9717739,135552451,5,
7658753,135552451,5,
1832517,135552451,5,
16171752,135552451,5,
6520402,135552451,5,Sách in đẹp và tốt nhất cho người sử dụng trong đó rất cần cho việc văn chương.
5654427,135552451,5,
12964643,135552451,5,
9657265,135552451,5,
13577129,135552451,5,
7607812,135552451,5,
9924491,135552451,5,
8595332,135552451,5,
12829029,135552451,5,
29342659,135552451,5,
12565982,135552451,5,
8947969,135552451,5,
13606843,135552451,5,
188679,135552451,5,Hình thức đẹp
10844277,135552451,5,
21254931,135552451,5,Ok
6548961,135552451,5,"Giao nhanh, sách rất đẹp gói gém cẩn thận với rất chắc chắn luôn ạ. Yêu lắm luônnnn"
451499,135552451,5,
11651157,135552451,5,
10474846,135552451,5,"Càng đọc càng yêu lịch sử nước nhà, càng tự hào về ***."
22333040,135552451,4,
13924070,135552451,5,
9690251,135552451,5,"Shop đóng gói cẩn thận, giao hàng nhanh."
17327721,135552451,5,
22671969,135552451,5,"Sách giao về không có bọc sách, không có chống sốc, nhưng may là nó vẫn ổn, giao nhanh, nói chung cũng rất hài lòng 🥰"
12126977,135552451,5,"Sách hay, tiki giao hàng nhanh"
22599589,135552451,5,
11781556,135552451,5,
28424960,135552451,5,
22674834,135552451,5,
20447523,135552451,5,
22613707,135552451,5,
26501864,135552451,5,"Sách đẹp, đóng gói cẩn thận, giao hàng nhanh"
22539848,135552451,5,
6755152,135552451,5,"Chất lượng sản phẩm, dịch vụ tốt"
6031590,135552451,5,
11376731,135552451,5,Sách hay
1759694,135552451,5,
57417,135552451,5,Nhiều kiến thức hữu ích
14621601,135552451,5,
29532331,135552451,5,
665556,135552451,5,
8180032,135552451,5,
13229508,135552451,5,
16540430,135552451,5,
8417380,135552451,5,
22446612,135552451,5,
5654050,135552451,5,Quá hay! Lịch sử Việt Nam quá tuyệt vời
10137957,135552451,5,Cảm ơn Tác giả một quyển sách đáng đọc
11494184,135552451,5,
16069190,135552451,5,Sách đẹp bìa đẹp nội dung có bổ sung thêm   Có hệ thống nên mua
6848583,135552451,5,
23822827,135552451,5,
1120551,135552451,5,
5223566,135552451,4,
9109106,135552451,5,
2113477,135552451,5,
294950,135552451,5,Cực kỳ hài lòng.
17467890,135552451,5,
28199224,135552451,5,
23882216,135552451,5,
18603392,135552451,5,
1769124,135552451,5,
23933466,135552451,5,
8084599,135552451,5,
23445460,135552451,5,
27862844,135552451,5,
5543665,135552451,5,
28650603,135552451,5,
28272600,135552451,4,
